ESC:0adf
F1:0cfb
F2:07fb
F3:07fe
F4:07df
F5:12df
F6:09df
F7:0bfe
F8:0bfb
F9:12fb
F10:12f7
F11:02f7
F12:13f7
PRINTSCREEN:03f7
SCROLLLOCK:03fd
PAUSE:06ef
NUMLOCK:02ef
/:13ef
*:01ef
-:017f
NUM7:02fd
NUM8:13fd
NUM9:01fd
NUM4:02fe
NUM5:13fe
NUM6:01fe
NUM1:02bf
NUM2:13bf
NUM3:01bf
NUM+:06fd
NUMENTER:06bf
NUMDEL:01df
NUM0:02df
NUM0:13df
INSERT:13fb
HOME:06fb
PAGEUP:01fb
DEL:02fb
END:06f7
PAGEDN:01f7
UPARROW:06df
DOWNARROW:027f
LEFTARROW:067f
RIGHTARROW:137f
TILDE:0afb
TAB:0afe
CAPSLOCK:0cfe
LSHIFT:0ffe
LCTRL:0efb
LWINDOWS:00df
LALT:03df
SPACE:127f
RALT:037f
RWINDOWS:117f
RMENU:06fe
RCTRL:0eef
LSHIFT:0cdf
RSHIFT:0fef
1:0af7
2:0cf7
3:07f7
4:08f7
5:08fb
6:10fb
7:10f7
8:09f7
9:0bf7
0:0df7
-:0dfb
=:09fb
BKSP:12fd
BKSP:12fe
Q:0afd
W:0cfd
E:07fd
R:08fd
T:08fe
Y:10fe
U:10fd
I:09fd
O:0bfd
P:0dfd
[:0dfe
]:09fe
\:12bf
A:0abf
S:0cbf
D:07bf
F:08bf
G:08df
H:10df
J:10bf
K:09bf
L:0bbf
;:0dbf
':0ddf
ENTER:0def
ENTER:12ef
Z:0aef
X:0cef
C:07ef
V:08ef
B:087f
N:107f
M:10ef
,:09ef
.:0bef
/:0d7f
NUM0:025f
